sampel_id,fold,pred_prob
ERR2597086,fold_2,0.6011646416974797
ERR2597104,fold_2,0.5770068796032588
ERR2597114,fold_2,0.5155287620514647
ERR2597115,fold_2,0.5479779037951359
ERR2597116,fold_2,0.6294711495751215
ERR2597118,fold_2,0.5553357599784379
ERR2597130,fold_2,0.5837959327213548
ERR2597131,fold_2,0.6196994790284628
ERR2597132,fold_2,0.5602272276675198
ERR2597137,fold_2,0.5727061715437993
ERR2597149,fold_2,0.5410835431558588
ERR2597157,fold_2,0.566748078750853
ERR2597176,fold_2,0.6123614782934428
ERR2597180,fold_2,0.5284801609790887
ERR2597204,fold_2,0.543333566284903
ERR2597220,fold_2,0.5862911508269437
ERR2597254,fold_2,0.518618705182463
ERR2597266,fold_2,0.5993291994777241
ERR2597269,fold_2,0.6023696320767479
ERR2597275,fold_2,0.5759829046907182
ERR2597277,fold_2,0.508845311091575
ERR2597278,fold_2,0.48799537122654
SRR5269730,fold_2,0.4649157226097981
SRR5269791,fold_2,0.45671154680051174
SRR5269800,fold_2,0.45402434662945196
SRR5269813,fold_2,0.42472870817129993
SRR5269818,fold_2,0.42119144950799686
SRR5269829,fold_2,0.4749515369748979
SRR5269831,fold_2,0.4347654622373963
SRR5269837,fold_2,0.4471016234558234
SRR5269838,fold_2,0.48532097877834557
SRR5269842,fold_2,0.468728332913772
SRR5269844,fold_2,0.4621641159344962
SRR5269848,fold_2,0.48636780631818166
SRR5269860,fold_2,0.48094041178029995
SRR5269864,fold_2,0.4654406961509647
SRR5269867,fold_2,0.46543438571362733
SRR5269874,fold_2,0.5042557242582225
SRR5269883,fold_2,0.48548588844724966
SRR5269888,fold_2,0.4784538910532646
SRR5269898,fold_2,0.4896490214899596
SRR5269903,fold_2,0.49636589670193004
SRR5269904,fold_2,0.47683953258952994
SRR5269905,fold_2,0.4732550375952619
SRR5269908,fold_2,0.49359969167132817
SRR5269919,fold_2,0.4892706999246851
SRR5269934,fold_2,0.4496858791326216
SRR5269937,fold_2,0.40424000645745595
SRR5269939,fold_2,0.45856367535093395
SRR5269940,fold_2,0.41703951417382307
SRR5269948,fold_2,0.430085211691313
SRR5269949,fold_2,0.4036266473172759
SRR5269952,fold_2,0.41624099920659235
SRR5269956,fold_2,0.3971917937387146
SRR5269969,fold_2,0.44982992983354914
SRR5269974,fold_2,0.46090107014704934
SRR5269976,fold_2,0.38960199977571647
SRR5269980,fold_2,0.42376972267215923
SRR5269982,fold_2,0.42929726415243646
SRR5269984,fold_2,0.36242291032282614
SRR5269987,fold_2,0.400793891146639
SRR5269998,fold_2,0.4283327970997399
SRR5270004,fold_2,0.41604733164648733
SRR5270009,fold_2,0.45478382600454664
SRR5270011,fold_2,0.4596567158247911
SRR5270036,fold_2,0.4036123063442361
SRR5270037,fold_2,0.42279788792162526
SRR5270040,fold_2,0.396837255959914
SRR5270042,fold_2,0.38806191970436055
SRR5270054,fold_2,0.4497408151561492
SRR5270055,fold_2,0.4247851453133044
SRR5270065,fold_2,0.413244604517075
SRR5270067,fold_2,0.44310424929358927
SRR5270071,fold_2,0.3908694508757025
SRR5270076,fold_2,0.4169269586835497
SRR5270077,fold_2,0.4455610982215497
SRR5270084,fold_2,0.45126355061081425
SRR5270087,fold_2,0.4321079994721636
SRR5270088,fold_2,0.39644074166130316
SRR5270091,fold_2,0.5011020900327692
SRR5270097,fold_2,0.461934204411059
SRR5270103,fold_2,0.41517254439114987
SRR5270104,fold_2,0.4844289987652917
SRR5270113,fold_2,0.42249451447850045
SRR7533843,fold_2,0.502889788278766
SRR7533859,fold_2,0.5254303797517426
SRR7533887,fold_2,0.5766376268027154
SRR7533890,fold_2,0.5247871225643839
SRR7533893,fold_2,0.47060380490156395
SRR7533897,fold_2,0.5041207343473977
SRR7533915,fold_2,0.4786048864540145
SRR7533932,fold_2,0.587913603915531
SRR7533939,fold_2,0.5058261063182184
SRR7533954,fold_2,0.4750753813789838
SRR7533955,fold_2,0.5033881057411027
SRR7533957,fold_2,0.5286259292871167
SRR7533960,fold_2,0.5705565879685202
SRR7533962,fold_2,0.5093538418127112
SRR7533977,fold_2,0.505905318129422
SRR7533990,fold_2,0.46661674142433257
SRR7533998,fold_2,0.5474672744289042
SRR7534002,fold_2,0.5498515846145977
SRR7534006,fold_2,0.5061873191821309
SRR7534025,fold_2,0.491171419078263
SRR7534030,fold_2,0.449298834095778
SRR7534043,fold_2,0.4749266092397364
SRR7534049,fold_2,0.4440632026960117
SRR7534063,fold_2,0.4911399179349942
SRR7534072,fold_2,0.5187506964551851
SRR7534099,fold_2,0.4782343956542942
SRR7534114,fold_2,0.5094389881145848
SRR7534122,fold_2,0.5216873526331862
SRR7534130,fold_2,0.5333359347642637
SRR7534137,fold_2,0.4885741146419046
SRR7534138,fold_2,0.4951759054051163
SRR7534146,fold_2,0.45125687151578914
SRR7534153,fold_2,0.49095632165863345
SRR7534164,fold_2,0.4772967854771381
